order_item_id,order_id,product_id,user_id,quantity,item_price,item_total,order_date,order_status,total_amount,name,email,gender,city,signup_date,product_name,category,brand,price,rating,month,revenue
I00000024,O00000008,P000497,U007661,1,15.21,15.21,2024-03-03 23:33:22.844913,completed,15.21,Leah Hill,lnunez@example.com,Male,Khanfurt,2025-05-24,Acme Owner,Books,Acme,15.21,3.69,2024-03,15.21
I00000025,O00000009,P001301,U000610,2,114.51,229.02,2025-10-29 07:00:11.203638,cancelled,229.02,Rachel Taylor,parkerrichard@example.org,Male,Howardmouth,2025-05-15,Astra Without,Clothing,Astra,114.51,2.87,2025-10,229.02
I00000026,O00000010,P000913,U003175,1,32.13,32.13,2024-08-13 07:04:24.298799,returned,107.63,Mark Johnson,jamesbeck@example.net,Female,Lake Benjamin,2025-10-29,Orion Sign,Toys,Orion,32.13,4.09,2024-08,32.13
I00000027,O00000010,P001655,U003175,1,75.5,75.5,2024-08-13 07:04:24.298799,returned,107.63,Mark Johnson,jamesbeck@example.net,Female,Lake Benjamin,2025-10-29,Pulse Understand,Home & Kitchen,Pulse,75.5,4.09,2024-08,75.5
I00000028,O00000011,P000162,U004470,1,151.39,151.39,2025-08-14 09:59:55.223975,shipped,1016.61,Morgan Lopez,michael10@example.com,Other,South Peggy,2025-10-14,Orion Most,Clothing,Orion,151.39,3.99,2025-08,151.39
I00000029,O00000011,P000006,U004470,1,18.61,18.61,2025-08-14 09:59:55.223975,shipped,1016.61,Morgan Lopez,michael10@example.com,Other,South Peggy,2025-10-14,NeoTech When,Toys,NeoTech,18.61,3.2,2025-08,18.61
I00000030,O00000011,P001724,U004470,1,846.61,846.61,2025-08-14 09:59:55.223975,shipped,1016.61,Morgan Lopez,michael10@example.com,Other,South Peggy,2025-10-14,NeoTech Mind,Electronics,NeoTech,846.61,3.62,2025-08,846.61
I00000031,O00000012,P000083,U009480,3,126.24,378.72,2025-08-27 09:57:48.992495,cancelled,600.23,Gabrielle Serrano,rachelblackwell@example.net,Other,New Timothy,2025-01-31,Harbor Spring,Toys,Harbor,126.24,4.2,2025-08,378.72
I00000032,O00000012,P000022,U009480,2,37.65,75.3,2025-08-27 09:57:48.992495,cancelled,600.23,Gabrielle Serrano,rachelblackwell@example.net,Other,New Timothy,2025-01-31,Nimbus Sit,Clothing,Nimbus,37.65,4.54,2025-08,75.3
I00000033,O00000012,P001184,U009480,2,64.63,129.26,2025-08-27 09:57:48.992495,cancelled,600.23,Gabrielle Serrano,rachelblackwell@example.net,Other,New Timothy,2025-01-31,Acme Fill,Toys,Acme,64.63,4.24,2025-08,129.26
I00000034,O00000012,P001636,U009480,1,16.95,16.95,2025-08-27 09:57:48.992495,cancelled,600.23,Gabrielle Serrano,rachelblackwell@example.net,Other,New Timothy,2025-01-31,Solace Administration,Toys,Solace,16.95,3.1,2025-08,16.95
I00000035,O00000013,P001563,U003631,1,15.87,15.87,2025-01-03 18:04:29.010457,processing,15.87,John Butler,stephaniebright@example.net,Other,Johnsonside,2025-10-17,Everest Else,Books,Everest,15.87,2.7,2025-01,15.87
I00000036,O00000014,P001712,U009493,2,260.48,520.96,2025-06-15 22:26:58.985044,shipped,520.96,Michael Stanton,bridgesjennifer@example.net,Other,Williamsberg,2024-10-25,Zenith Management,Home & Kitchen,Zenith,260.48,3.55,2025-06,520.96
I00000037,O00000015,P001687,U003336,1,10.39,10.39,2024-07-16 18:07:56.184332,returned,1416.93,Steven Smith,ericford@example.org,Other,Donnabury,2024-12-09,Orion Painting,Pet Supplies,Orion,10.39,4.23,2024-07,10.39
I00000038,O00000015,P001005,U003336,2,405.41,810.82,2024-07-16 18:07:56.184332,returned,1416.93,Steven Smith,ericford@example.org,Other,Donnabury,2024-12-09,Acme Majority,Home & Kitchen,Acme,405.41,3.14,2024-07,810.82
I00000039,O00000015,P001891,U003336,2,56.77,113.54,2024-07-16 18:07:56.184332,returned,1416.93,Steven Smith,ericford@example.org,Other,Donnabury,2024-12-09,Nimbus Figure,Books,Nimbus,56.77,2.73,2024-07,113.54
I00000040,O00000015,P000234,U003336,1,375.37,375.37,2024-07-16 18:07:56.184332,returned,1416.93,Steven Smith,ericford@example.org,Other,Donnabury,2024-12-09,NeoTech Fear,Electronics,NeoTech,375.37,3.59,2024-07,375.37
I00000041,O00000015,P000329,U003336,1,106.81,106.81,2024-07-16 18:07:56.184332,returned,1416.93,Steven Smith,ericford@example.org,Other,Donnabury,2024-12-09,Astra Support,Toys,Astra,106.81,3.02,2024-07,106.81
I00000042,O00000016,P001897,U006392,1,127.42,127.42,2025-10-01 07:52:15.796147,processing,127.42,David Johnson,iperez@example.org,Other,Lake Russell,2025-03-10,Nimbus Expert,Beauty,Nimbus,127.42,2.95,2025-10,127.42
I00000043,O00000017,P001808,U006684,3,49.88,149.64,2024-08-05 20:28:39.309665,processing,227.48,Shawn Callahan,brittany91@example.net,Female,Larsonmouth,2024-05-16,Astra Pull,Pet Supplies,Astra,49.88,3.29,2024-08,149.64
I00000044,O00000017,P001370,U006684,2,38.92,77.84,2024-08-05 20:28:39.309665,processing,227.48,Shawn Callahan,brittany91@example.net,Female,Larsonmouth,2024-05-16,Harbor Beat,Clothing,Harbor,38.92,3.94,2024-08,77.84
I00000045,O00000018,P001510,U000792,1,93.58,93.58,2024-11-10 21:40:57.180283,cancelled,601.16,Keith Ibarra,treed@example.com,Male,Austinburgh,2025-05-19,GreenLeaf Reduce,Pet Supplies,GreenLeaf,93.58,4.47,2024-11,93.58
I00000046,O00000018,P001471,U000792,2,161.15,322.3,2024-11-10 21:40:57.180283,cancelled,601.16,Keith Ibarra,treed@example.com,Male,Austinburgh,2025-05-19,NeoTech Writer,Sports,NeoTech,161.15,3.39,2024-11,322.3
I00000047,O00000018,P000916,U000792,1,81.74,81.74,2024-11-10 21:40:57.180283,cancelled,601.16,Keith Ibarra,treed@example.com,Male,Austinburgh,2025-05-19,Acme Radio,Sports,Acme,81.74,3.17,2024-11,81.74
I00000048,O00000018,P000406,U000792,1,103.54,103.54,2024-11-10 21:40:57.180283,cancelled,601.16,Keith Ibarra,treed@example.com,Male,Austinburgh,2025-05-19,NeoTech Provide,Sports,NeoTech,103.54,4.5,2024-11,103.54
I00000049,O00000019,P000614,U004785,1,135.38,135.38,2024-11-26 15:18:00.423573,returned,135.38,Kayla Wallace,nelsonmaria@example.net,Male,East Kelly,2025-05-02,Solace Car,Clothing,Solace,135.38,3.3,2024-11,135.38
I00000050,O00000020,P000282,U007957,1,154.03,154.03,2024-07-13 06:57:25.769991,completed,398.84,Brittney Silva,pearsonjillian@example.net,Female,Smithfort,2024-03-20,Solace Represent,Beauty,Solace,154.03,4.79,2024-07,154.03
I00000051,O00000020,P001099,U007957,1,33.06,33.06,2024-07-13 06:57:25.769991,completed,398.84,Brittney Silva,pearsonjillian@example.net,Female,Smithfort,2024-03-20,GreenLeaf List,Books,GreenLeaf,33.06,4.49,2024-07,33.06
I00000052,O00000020,P000247,U007957,1,10.2,10.2,2024-07-13 06:57:25.769991,completed,398.84,Brittney Silva,pearsonjillian@example.net,Female,Smithfort,2024-03-20,Solace Finish,Books,Solace,10.2,3.76,2024-07,10.2
I00000053,O00000020,P000514,U007957,1,201.55,201.55,2024-07-13 06:57:25.769991,completed,398.84,Brittney Silva,pearsonjillian@example.net,Female,Smithfort,2024-03-20,Everest Despite,Home & Kitchen,Everest,201.55,4.66,2024-07,201.55
I00000054,O00000021,P000164,U002529,1,60.85,60.85,2025-07-30 08:08:33.421591,completed,209.51,Tina Richardson,shane26@example.org,Other,Carlsonchester,2025-02-11,Astra Town,Books,Astra,60.85,2.81,2025-07,60.85
I00000055,O00000021,P001540,U002529,1,148.66,148.66,2025-07-30 08:08:33.421591,completed,209.51,Tina Richardson,shane26@example.org,Other,Carlsonchester,2025-02-11,Harbor Whom,Automotive,Harbor,148.66,3.07,2025-07,148.66
I00000056,O00000022,P001206,U004486,1,531.53,531.53,2024-08-28 22:17:59.087219,shipped,1072.94,Dawn Snyder,connermatthew@example.org,Other,Lake Benjaminton,2025-04-25,GreenLeaf Or,Automotive,GreenLeaf,531.53,4.08,2024-08,531.53
I00000057,O00000022,P000004,U004486,1,541.41,541.41,2024-08-28 22:17:59.087219,shipped,1072.94,Dawn Snyder,connermatthew@example.org,Other,Lake Benjaminton,2025-04-25,Nimbus South,Electronics,Nimbus,541.41,4.14,2024-08,541.41
I00000058,O00000023,P001492,U007432,1,119.02,119.02,2024-05-19 11:26:48.773841,returned,119.02,Jessica Savage,sarahsanchez@example.org,Female,East Elizabeth,2025-09-29,Nimbus Economic,Toys,Nimbus,119.02,4.85,2024-05,119.02
I00000059,O00000024,P000058,U003345,1,788.21,788.21,2025-06-20 17:10:48.147887,completed,803.47,Brian Johnson,gregorylevine@example.com,Male,Frankchester,2025-02-02,Astra Power,Electronics,Astra,788.21,3.41,2025-06,788.21
I00000060,O00000024,P001098,U003345,1,15.26,15.26,2025-06-20 17:10:48.147887,completed,803.47,Brian Johnson,gregorylevine@example.com,Male,Frankchester,2025-02-02,Willow Choose,Pet Supplies,Willow,15.26,4.46,2025-06,15.26
I00000061,O00000025,P000952,U006241,1,70.34,70.34,2024-01-23 02:00:10.375804,shipped,521.99,Dustin Davis,joshuahoffman@example.org,Male,Nicholefort,2024-05-29,Nimbus Bag,Beauty,Nimbus,70.34,4.55,2024-01,70.34
I00000062,O00000025,P000494,U006241,2,148.44,296.88,2024-01-23 02:00:10.375804,shipped,521.99,Dustin Davis,joshuahoffman@example.org,Male,Nicholefort,2024-05-29,Astra Test,Clothing,Astra,148.44,3.65,2024-01,296.88
I00000063,O00000025,P001686,U006241,1,134.71,134.71,2024-01-23 02:00:10.375804,shipped,521.99,Dustin Davis,joshuahoffman@example.org,Male,Nicholefort,2024-05-29,Pulse Thing,Beauty,Pulse,134.71,3.74,2024-01,134.71
I00000064,O00000025,P000654,U006241,1,20.06,20.06,2024-01-23 02:00:10.375804,shipped,521.99,Dustin Davis,joshuahoffman@example.org,Male,Nicholefort,2024-05-29,Pulse Run,Toys,Pulse,20.06,3.74,2024-01,20.06
I00000065,O00000026,P001694,U000638,1,34.17,34.17,2025-06-24 23:57:30.673090,shipped,54.13,Sherri Johnson,greertyrone@example.org,Other,South Cassandra,2024-06-06,Solace Actually,Pet Supplies,Solace,34.17,4.83,2025-06,34.17
I00000066,O00000026,P000797,U000638,2,9.98,19.96,2025-06-24 23:57:30.673090,shipped,54.13,Sherri Johnson,greertyrone@example.org,Other,South Cassandra,2024-06-06,Astra Congress,Toys,Astra,9.98,4.15,2025-06,19.96
I00000067,O00000027,P000251,U006102,1,64.82,64.82,2025-10-31 11:20:46.870987,returned,495.94,Benjamin Turner,jfernandez@example.org,Other,Leeville,2025-02-02,Solace Bill,Beauty,Solace,64.82,2.71,2025-10,64.82
I00000068,O00000027,P001990,U006102,1,431.12,431.12,2025-10-31 11:20:46.870987,returned,495.94,Benjamin Turner,jfernandez@example.org,Other,Leeville,2025-02-02,Zenith Page,Home & Kitchen,Zenith,431.12,4.13,2025-10,431.12
I00000069,O00000028,P001671,U007489,1,8.06,8.06,2024-01-09 07:28:10.638443,processing,334.14,William Hampton,rodriguezdarin@example.com,Male,Russoland,2025-04-23,Nimbus Garden,Beauty,Nimbus,8.06,4.12,2024-01,8.06
I00000070,O00000028,P000921,U007489,2,47.82,95.64,2024-01-09 07:28:10.638443,processing,334.14,William Hampton,rodriguezdarin@example.com,Male,Russoland,2025-04-23,Acme Military,Home & Kitchen,Acme,47.82,4.8,2024-01,95.64
I00000071,O00000028,P001940,U007489,2,115.22,230.44,2024-01-09 07:28:10.638443,processing,334.14,William Hampton,rodriguezdarin@example.com,Male,Russoland,2025-04-23,Acme Road,Sports,Acme,115.22,2.78,2024-01,230.44
I00000072,O00000029,P001874,U006599,1,605.36,605.36,2025-05-23 18:15:57.806458,shipped,950.63,Alexandra Johnson,moniquestokes@example.org,Male,New Sarahchester,2024-08-31,Willow Show,Electronics,Willow,605.36,3.56,2025-05,605.36
I00000073,O00000029,P000938,U006599,3,83.52,250.56,2025-05-23 18:15:57.806458,shipped,950.63,Alexandra Johnson,moniquestokes@example.org,Male,New Sarahchester,2024-08-31,GreenLeaf Remember,Books,GreenLeaf,83.52,2.52,2025-05,250.56
I00000074,O00000029,P000047,U006599,1,94.71,94.71,2025-05-23 18:15:57.806458,shipped,950.63,Alexandra Johnson,moniquestokes@example.org,Male,New Sarahchester,2024-08-31,Acme Together,Beauty,Acme,94.71,3.71,2025-05,94.71
I00000075,O00000030,P000395,U002144,1,56.04,56.04,2024-02-07 15:08:03.396213,shipped,265.14,Andrew Thomas,stephanie27@example.net,Male,Christopherchester,2025-03-27,Harbor Opportunity,Books,Harbor,56.04,3.65,2024-02,56.04
I00000076,O00000030,P001002,U002144,1,209.1,209.1,2024-02-07 15:08:03.396213,shipped,265.14,Andrew Thomas,stephanie27@example.net,Male,Christopherchester,2025-03-27,Harbor Night,Clothing,Harbor,209.1,3.68,2024-02,209.1
I00000077,O00000031,P000853,U007162,2,121.17,242.34,2024-11-19 07:31:43.816286,cancelled,4942.06,Shane Smith,lisa00@example.net,Female,Ericksonport,2024-05-14,Everest Cultural,Beauty,Everest,121.17,4.25,2024-11,242.34
I00000078,O00000031,P000303,U007162,3,1535.55,4606.65,2024-11-19 07:31:43.816286,cancelled,4942.06,Shane Smith,lisa00@example.net,Female,Ericksonport,2024-05-14,Willow Note,Electronics,Willow,1535.55,4.2,2024-11,4606.65
I00000079,O00000031,P000339,U007162,1,93.07,93.07,2024-11-19 07:31:43.816286,cancelled,4942.06,Shane Smith,lisa00@example.net,Female,Ericksonport,2024-05-14,Nimbus Memory,Pet Supplies,Nimbus,93.07,2.71,2024-11,93.07
I00000080,O00000032,P000704,U007933,1,194.49,194.49,2024-03-18 17:21:40.789857,returned,194.49,Tamara Morrow,dodsonadam@example.org,Other,Tanyaport,2025-04-25,NeoTech Girl,Home & Kitchen,NeoTech,194.49,4.66,2024-03,194.49
I00000081,O00000033,P001756,U000286,2,967.83,1935.66,2024-05-29 17:27:31.175330,processing,2028.84,Aaron Sandoval,dalton83@example.com,Female,Woodwardberg,2025-10-12,Astra Book,Automotive,Astra,967.83,2.92,2024-05,1935.66
I00000082,O00000033,P001488,U000286,2,46.59,93.18,2024-05-29 17:27:31.175330,processing,2028.84,Aaron Sandoval,dalton83@example.com,Female,Woodwardberg,2025-10-12,Zenith Like,Books,Zenith,46.59,3.0,2024-05,93.18
I00000083,O00000034,P000786,U001759,1,13.24,13.24,2025-10-23 14:39:53.536172,completed,366.56,Amy Love,xbaker@example.net,Male,South Vincent,2024-02-10,Solace Environmental,Books,Solace,13.24,4.41,2025-10,13.24
I00000084,O00000034,P001913,U001759,2,7.76,15.52,2025-10-23 14:39:53.536172,completed,366.56,Amy Love,xbaker@example.net,Male,South Vincent,2024-02-10,NeoTech Information,Groceries,NeoTech,7.76,4.12,2025-10,15.52
I00000085,O00000034,P000540,U001759,1,337.8,337.8,2025-10-23 14:39:53.536172,completed,366.56,Amy Love,xbaker@example.net,Male,South Vincent,2024-02-10,Zenith Foreign,Automotive,Zenith,337.8,3.08,2025-10,337.8
I00000086,O00000035,P001080,U007158,1,18.31,18.31,2024-02-19 10:35:26.319332,processing,55.44,Amanda Rodriguez,miranda76@example.net,Other,Theresastad,2024-06-27,Acme Wrong,Clothing,Acme,18.31,4.63,2024-02,18.31
I00000087,O00000035,P000691,U007158,1,3.96,3.96,2024-02-19 10:35:26.319332,processing,55.44,Amanda Rodriguez,miranda76@example.net,Other,Theresastad,2024-06-27,GreenLeaf Concern,Groceries,GreenLeaf,3.96,4.89,2024-02,3.96
I00000088,O00000035,P001843,U007158,1,33.17,33.17,2024-02-19 10:35:26.319332,processing,55.44,Amanda Rodriguez,miranda76@example.net,Other,Theresastad,2024-06-27,Nimbus Near,Toys,Nimbus,33.17,4.37,2024-02,33.17
I00000089,O00000036,P000926,U009692,1,19.4,19.4,2024-05-14 21:27:14.167079,cancelled,858.97,Gary Solomon,christie33@example.org,Other,Port Jerrymouth,2024-01-31,Zenith He,Home & Kitchen,Zenith,19.4,4.28,2024-05,19.4
I00000090,O00000036,P000903,U009692,1,85.46,85.46,2024-05-14 21:27:14.167079,cancelled,858.97,Gary Solomon,christie33@example.org,Other,Port Jerrymouth,2024-01-31,Pulse Paper,Toys,Pulse,85.46,3.18,2024-05,85.46
I00000091,O00000036,P000304,U009692,1,120.82,120.82,2024-05-14 21:27:14.167079,cancelled,858.97,Gary Solomon,christie33@example.org,Other,Port Jerrymouth,2024-01-31,Willow Site,Clothing,Willow,120.82,2.68,2024-05,120.82
I00000092,O00000036,P001548,U009692,2,243.71,487.42,2024-05-14 21:27:14.167079,cancelled,858.97,Gary Solomon,christie33@example.org,Other,Port Jerrymouth,2024-01-31,Solace Life,Automotive,Solace,243.71,3.41,2024-05,487.42
I00000093,O00000036,P001134,U009692,1,145.87,145.87,2024-05-14 21:27:14.167079,cancelled,858.97,Gary Solomon,christie33@example.org,Other,Port Jerrymouth,2024-01-31,NeoTech Son,Beauty,NeoTech,145.87,4.35,2024-05,145.87
I00000094,O00000037,P000347,U002635,1,19.77,19.77,2025-11-03 23:18:22.552762,completed,19.77,Charles Howard,hcollins@example.net,Other,Alexanderchester,2025-06-22,Astra Significant,Pet Supplies,Astra,19.77,3.89,2025-11,19.77
I00000095,O00000038,P001071,U004419,1,704.13,704.13,2025-06-30 05:15:33.265938,shipped,1797.9,David Gonzalez,xleblanc@example.org,Male,Jessicaport,2024-03-06,Willow Protect,Electronics,Willow,704.13,3.31,2025-06,704.13
I00000096,O00000038,P001868,U004419,2,299.8,599.6,2025-06-30 05:15:33.265938,shipped,1797.9,David Gonzalez,xleblanc@example.org,Male,Jessicaport,2024-03-06,Nimbus Foot,Sports,Nimbus,299.8,4.4,2025-06,599.6
I00000097,O00000038,P001916,U004419,1,286.99,286.99,2025-06-30 05:15:33.265938,shipped,1797.9,David Gonzalez,xleblanc@example.org,Male,Jessicaport,2024-03-06,GreenLeaf Feel,Home & Kitchen,GreenLeaf,286.99,4.31,2025-06,286.99
I00000098,O00000038,P000331,U004419,1,112.6,112.6,2025-06-30 05:15:33.265938,shipped,1797.9,David Gonzalez,xleblanc@example.org,Male,Jessicaport,2024-03-06,Everest Million,Sports,Everest,112.6,4.02,2025-06,112.6
I00000099,O00000038,P000873,U004419,1,94.58,94.58,2025-06-30 05:15:33.265938,shipped,1797.9,David Gonzalez,xleblanc@example.org,Male,Jessicaport,2024-03-06,Harbor Television,Home & Kitchen,Harbor,94.58,4.81,2025-06,94.58
I00000100,O00000039,P000208,U005127,1,826.18,826.18,2024-11-09 01:20:49.223031,shipped,2803.64,Michael Kelley,chamberslisa@example.net,Male,New Markton,2024-04-11,Solace Move,Automotive,Solace,826.18,2.71,2024-11,826.18
I00000101,O00000039,P001732,U005127,1,417.15,417.15,2024-11-09 01:20:49.223031,shipped,2803.64,Michael Kelley,chamberslisa@example.net,Male,New Markton,2024-04-11,Pulse Baby,Electronics,Pulse,417.15,2.63,2024-11,417.15
I00000102,O00000039,P000027,U005127,1,61.59,61.59,2024-11-09 01:20:49.223031,shipped,2803.64,Michael Kelley,chamberslisa@example.net,Male,New Markton,2024-04-11,Willow Evening,Toys,Willow,61.59,2.7,2024-11,61.59
I00000103,O00000039,P001906,U005127,2,17.73,35.46,2024-11-09 01:20:49.223031,shipped,2803.64,Michael Kelley,chamberslisa@example.net,Male,New Markton,2024-04-11,GreenLeaf Sport,Books,GreenLeaf,17.73,3.0,2024-11,35.46
I00000104,O00000039,P001882,U005127,1,1463.26,1463.26,2024-11-09 01:20:49.223031,shipped,2803.64,Michael Kelley,chamberslisa@example.net,Male,New Markton,2024-04-11,Astra Tough,Electronics,Astra,1463.26,4.71,2024-11,1463.26
I00000105,O00000040,P001209,U002158,1,8.24,8.24,2025-11-03 21:23:24.064700,returned,82.61,Gregory Stafford,lbishop@example.net,Other,New Robin,2025-02-03,Willow Radio,Pet Supplies,Willow,8.24,3.27,2025-11,8.24
I00000106,O00000040,P000407,U002158,3,18.79,56.37,2025-11-03 21:23:24.064700,returned,82.61,Gregory Stafford,lbishop@example.net,Other,New Robin,2025-02-03,Acme Improve,Toys,Acme,18.79,2.92,2025-11,56.37
I00000107,O00000040,P001791,U002158,2,9.0,18.0,2025-11-03 21:23:24.064700,returned,82.61,Gregory Stafford,lbishop@example.net,Other,New Robin,2025-02-03,Acme Democratic,Groceries,Acme,9.0,3.17,2025-11,18.0
I00000108,O00000041,P000892,U000891,1,67.1,67.1,2024-02-12 19:23:23.731212,processing,67.1,Jennifer Snow,patricia71@example.com,Other,South Roberthaven,2024-10-13,GreenLeaf Measure,Toys,GreenLeaf,67.1,4.86,2024-02,67.1
I00000109,O00000042,P001850,U007175,2,129.49,258.98,2025-05-05 12:29:18.506335,shipped,274.27,Cassie Jackson,hharris@example.net,Other,Hicksville,2025-04-15,Willow Amount,Beauty,Willow,129.49,3.7,2025-05,258.98
I00000110,O00000042,P000884,U007175,1,15.29,15.29,2025-05-05 12:29:18.506335,shipped,274.27,Cassie Jackson,hharris@example.net,Other,Hicksville,2025-04-15,Willow Nation,Pet Supplies,Willow,15.29,4.05,2025-05,15.29
I00000111,O00000043,P001853,U005178,1,351.45,351.45,2024-06-05 17:15:52.359642,returned,351.45,Brian Williams,ericswanson@example.org,Male,Allenmouth,2024-02-22,Orion After,Electronics,Orion,351.45,3.22,2024-06,351.45
I00000112,O00000044,P001348,U008621,1,54.01,54.01,2025-11-06 10:56:40.562956,shipped,158.28,Joseph Bean,david04@example.org,Other,Lake Alan,2025-02-19,Astra Early,Books,Astra,54.01,3.58,2025-11,54.01
I00000113,O00000044,P000594,U008621,1,104.27,104.27,2025-11-06 10:56:40.562956,shipped,158.28,Joseph Bean,david04@example.org,Other,Lake Alan,2025-02-19,Zenith Commercial,Toys,Zenith,104.27,4.35,2025-11,104.27
